AMD Ryzen 7 PRO 5750GE,12682
Intel Core i9-9900X,12671
Intel Xeon E5-2697 v4,12664
Intel Core i3-12300HE,12659
Intel Core i3-12300HL,12659
Intel Xeon E5-4667 v4,12656
Intel Core i5-13400T,12635
Intel Xeon D-1747NTE,12632
AMD Ryzen 5 5600X,12629
Intel Xeon Gold 6130T,12601
AMD Ryzen 7 PRO 5755GE,12576
AMD Ryzen 9 6900HS,12556
Intel Core Ultra 9 288V,12543
Intel Xeon W-1290,12528
Intel Core i7-1280P,12518
AMD Ryzen AI 7 455,12517
AMD Ryzen 7 6800U,12516
Intel Xeon E5-2699 v3,12506
AMD Ryzen 5 7640U,12485
AMD EPYC 7F32,12458
Intel Core i7-1370P,12451
Intel Xeon W-2155B,12450
Intel Core i5-1350PRE,12425
Intel Core i9-11900H,12417
Intel Core i9-10900,12397
Intel Core i7-13800HRE,12387
Intel Xeon Gold 6136,12369
AMD Ryzen 5 7400,12358
Intel Core i7-11850H,12351
AMD Ryzen 7 7735U,12351
AMD Ryzen 7 PRO 6850U,12338
Intel Core i7-12700TE,12336
AMD Ryzen 5 PRO 5650G,12318
AMD Ryzen 5 5500X3D,12317
AMD EPYC 8024P,12314
Intel Core i5-12500,12290
Intel Core i7-11700F,12257
Intel Core Ultra 7 256V,12228
AMD Ryzen 5 5600GT,12218
Intel Xeon W-1350P,12216
AMD Ryzen 9 5980HS,12207
AMD Ryzen 5 7545U,12202
AMD Ryzen 7 4700G,12201
Intel Core i5-12400F,12191
Intel Core Ultra 7 268V,12180
AMD Ryzen Embedded V3C48,12175
Intel Core i5-11600K,12154
Intel Core Ultra 5 335,12142
Intel Xeon E-2386G,12127
Intel Core i5-11600KF,12119
AMD Ryzen 7 PRO 6860Z,12103
Intel Xeon W-1290E,12100
Intel Xeon E5-2673 v4,12093
Intel Xeon D-2183IT,12069
Intel Xeon Gold 6137,12061
AMD Ryzen 5 8640U,12050
Intel Core Ultra 7 266V,12035
AMD Ryzen 5 230,12015
AMD Ryzen 5 8640HS,11996
AMD Ryzen 5 PRO 220,11986
Intel Core i9-9820X,11971
Intel Core i7-1370PRE,11935
Intel Core i9-10900F,11931
Intel Xeon W-2155,11924
AMD Ryzen 7 PRO 3700,11917
Intel Core i9-10900E,11910
Intel Core i5-1250P,11903
AMD Ryzen 5 PRO 5655G,11895
Intel Xeon D-2752TER,11881
